Model,xgb_learning_rate,xgb_max_depth,xgb_n_estimators,xgb_subsample,xgb_colsample,xgb_reg_lambda,rf_max_depth,rf_min_samples_leaf,rf_n_estimators,rf_max_features,ann_hidden_layers,ann_activation,ann_alpha,ann_lr_init,CV R² (mean),Test R²,Test MAE,Test RMSE,Params
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,10,2,675,sqrt,NIL,NIL,NIL,NIL,0.660463133,0.77828551,3.490558928,4.670443281,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 675}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,6,2,543,sqrt,NIL,NIL,NIL,NIL,0.649799683,0.766662601,3.611108067,4.791298625,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 543}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,6,2,762,sqrt,NIL,NIL,NIL,NIL,0.653281413,0.764191684,3.62654541,4.816600446,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 762}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,14,2,452,1,NIL,NIL,NIL,NIL,0.62104666,0.75847076,3.403781342,4.874677861,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 452}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,14,2,589,1,NIL,NIL,NIL,NIL,0.618403447,0.755199947,3.433832382,4.907573552,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 589}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,14,2,585,1,NIL,NIL,NIL,NIL,0.61795104,0.75476477,3.434769374,4.911933673,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 585}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,10,2,755,1,NIL,NIL,NIL,NIL,0.616006365,0.750921511,3.429056231,4.95027328,"{""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 755}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,10,3,846,sqrt,NIL,NIL,NIL,NIL,0.591818887,0.728102645,3.879278426,5.172060001,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 846}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.592294741,0.717992749,3.969903631,5.267338164,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 473}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,14,4,704,sqrt,NIL,NIL,NIL,NIL,0.521859782,0.690695787,4.200547565,5.516377538,"{""max_depth"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 704}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,10,4,572,sqrt,NIL,NIL,NIL,NIL,0.52512744,0.689745987,4.224970976,5.524840786,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 572}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,14,4,213,sqrt,NIL,NIL,NIL,NIL,0.521177783,0.68896888,4.23350174,5.53175562,"{""max_depth"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 213}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,14,3,389,1,NIL,NIL,NIL,NIL,0.503714902,0.688514441,3.856768074,5.53579529,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 3, ""n_estimators"": 389}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.508526974,0.688467583,3.860418611,5.536211663,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 3, ""n_estimators"": 234}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,6,4,761,sqrt,NIL,NIL,NIL,NIL,0.524084662,0.687679488,4.236934231,5.543209813,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""n_estimators"": 761}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,10,3,414,1,NIL,NIL,NIL,NIL,0.50295036,0.685950561,3.876307547,5.558531541,"{""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 3, ""n_estimators"": 414}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,10,3,627,1,NIL,NIL,NIL,NIL,0.503595071,0.684053768,3.879663569,5.57529246,"{""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 3, ""n_estimators"": 627}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,14,4,330,1,NIL,NIL,NIL,NIL,0.407260827,0.635232679,4.201104718,5.990582113,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 330}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,6,4,676,1,NIL,NIL,NIL,NIL,0.415184391,0.631479694,4.189719138,6.021320926,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 4, ""n_estimators"": 676}"
